date,period_label,period,name,autor,comment,category,theme,wiki
-331,IVème siècle av-jc,5,Bataille de Gaugamèle,,Alexandre contre Darius III pour Babylon,,"""[""histoire d’Alexandre le Grand""]""",
-323,IVème siècle av-jc,5,Mort d’Alexandre le Grand à babylon,,,,"""[""histoire d’Alexandre le Grand""]""",
-323,IVème siècle av-jc,5,Ptolémée fonde la dynastie lagide en égypte,,jusqu'à Cléopâtre VII,,"""[""histoire d’Alexandre le Grand""]""",
-322,IVème siècle av-jc,5,Mort d’Aristote,,,PH,"""[""histoire grecque"",""histoire d’Alexandre le Grand""]""",
-306,IVème siècle av-jc,5,Fondation à Athènes du Jardin par Epicure,,341-270,PH,"""[""histoire grecque""]""",
-301,IVème siècle av-jc,5,Fondation à Athène sous le Portique de l’école de Zénon,,(332-262),PH,"""[""histoire grecque""]""",
-300,IVème siècle av-jc,5,Les éléments,Euclide,,SC,"""[""histoire grecque""]""",
-272,IIIème siècle av-jc,6,Échec de la tentative de Pyrrhus d’envahir l’italie,,,,"""[""histoire de Rome""]""",
-264,IIIème siècle av-jc,6,Première guerre punique,,,,"""[""histoire de Rome""]""",
-250,IIIème siècle av-jc,6,Conquête de la péninsule italienne achevée par Rome,,,,"""[""histoire de Rome""]""",
-216,IIIème siècle av-jc,6,Bataille de Canne (Hannibal),,,,"""[""histoire de Rome""]""",
-200,IIIème siècle av-jc,6,(environ) Eratosthène d’Alexandrie mesure la circonférence de la terre,,,SC,,
-146,IIème siècle av-jc,7,Fin de la deuxième guerre punique,,Destruction de Carthage et sac de Corinthe (macédoine allié Carthage),,"""[""histoire de Rome""]""",
-133,IIème siècle av-jc,7,Mort des gracques,,,,"""[""histoire de Rome""]""",
-105,IIème siècle av-jc,7,Victoire de Rome sur les numides,,,,"""[""histoire de Rome""]""",
-91,Ier siècle av-jc,8,Révolte des italiques contre les romains,,,,"""[""histoire de Rome""]""",
-88,Ier siècle av-jc,8,Sylla (Optimate) marche sur Rome,,première guerre civile,,"""[""histoire de Rome""]""",
-87,Ier siècle av-jc,8,Marius (Populares) marche sur Rome,,première guerre civile,,"""[""histoire de Rome""]""",
-86,Ier siècle av-jc,8,Destruction d’Athènes par Rome,,,,"""[""histoire de Rome""]""",
-82,Ier siècle av-jc,8,Deuxième guerre civile,,(purge sur les populares mariste),,"""[""histoire de Rome""]""",
-73,Ier siècle av-jc,8,Révolte de Spartacus,,,,"""[""histoire de Rome""]""",
-63,Ier siècle av-jc,8,Cicéron(-103/-43) élu Consul (homo novus),,,,"""[""histoire de Rome""]""",
-60,Ier siècle av-jc,8,Premier Triumvir,,"César, Crassus (Marianiste) et Pompé (Sylliste)",,"""[""histoire de Rome""]""",
-54,Ier siècle av-jc,8,De Republica,Cicéron,,PH,"""[""histoire de Rome""]""",
-44,Ier siècle av-jc,8,Assassinat de Jules César,,,,"""[""histoire de Rome""]""",
-27,Ier siècle av-jc,8,Début de l’empire (Auguste),,,,"""[""histoire de Rome""]""",
48,Ier siècle,9,Édit de jérusalem,,"Pierre vs Jacques (circoncision, respect culte juif)",RE,"""[""histoire chrétienne""]""",
64,Ier siècle,9,Incendie de Rome par Néron,,,,"""[""histoire de Rome""]""",
65,Ier siècle,9,Mort de Sénèque,,4av/65ap,PH,"""[""histoire de Rome""]""",
70,Ier siècle,9,Destruction du temple de Jérusalem,,,,"""[""histoire de Rome""]""",
79,Ier siècle,9,Éruption du Vésuve,,,,"""[""histoire de Rome""]""",
89,Ier siècle,9,Epictète (50/130) quitte Rome,,,PH,"""[""histoire de Rome""]""",
94,Ier siècle,9,Fermeture des écoles philosophique à Rome par Domitien (dont Epictète),,,PH,"""[""histoire de Rome""]""",
161,IIème siècle,10,Marc Aurèle devient empereur,,(121/180),PH,"""[""histoire de Rome""]""",
165,IIème siècle,10,exécution de Justinien de Naplouse,,Philosophe platonicien et chrétien,PH,"""[""histoire de Rome"",""histoire chrétienne""]""",
168,IIème siècle,10,Mort de Claude Ptolémée,,L’astronome,SC,,
198,IIème siècle,10,De Anima,Alexandre d’Aphrodise,(a peu près),RE,"""[""histoire chrétienne""]""",
220,IIIème siècle,11,Mort de Tertullien à Carthage,,auteur de De carne Christi,RE,"""[""histoire chrétienne""]""",
250,IIIème siècle,11,Mort de Minucius Félix à Rome,,auteur de Octavius,RE,"""[""histoire chrétienne""]""",
313,IVème siècle,12,Edit de Milan par Constantin,,Légalisation de la chrétienté,RE,"""[""histoire chrétienne""]""",
321,IVème siècle,12,Institution divine,Lactance,(religare/terre late),RE,"""[""histoire chrétienne""]""",
324,IVème siècle,12,Transfert de la capitale romaine à byzance,,,,"""[""histoire de Rome""]""",
325,IVème siècle,12,1er concile de Nicée,,"L’empereur était Constantin. Il réunissait les patriarcats d’Antioche, d’Alexandrie, de Rome et de Jérusalem",RE,"""[""histoire chrétienne""]""",
325,IVème siècle,12,Condamnation de l’arianisme,,(vs trinitaire),RE,"""[""histoire chrétienne""]""",
356,IVème siècle,12,Mort de saint Antoine en Egypte,,fondateur du monachisme (vie de moine),RE,"""[""histoire chrétienne""]""",
381,IVème siècle,12,Concile de Constantinople et condamnation docétisme,,,RE,"""[""histoire chrétienne""]""",
386,IVème siècle,12,édit Thessalonique,,"sous Théodose, volonté d’un empire chrétien",RE,"""[""histoire chrétienne""]""",
401,Vème siècle,13,Les confessions,Augustin,,RE,"""[""histoire chrétienne""]""",
410,Vème siècle,13,Sac de Rome par les Wisigoth d’Alaric,,,,"""[""histoire de Rome""]""",
426,Vème siècle,13,La cité de Dieu,Augustin,,RE,"""[""histoire chrétienne""]""",
431,Vème siècle,13,Concile d’Ephèse,,condamnation du nestorianisme (Eglise Orient/ Eglise impériale),RE,"""[""histoire chrétienne""]""",
451,Vème siècle,13,Bataille des champs Catalauniques,,(Ætius vs Attila) (Création des Francs),,"""[""histoire de France""]""",
451,Vème siècle,13,Concile de Chalcédoine,,Condamnation du monophysme,RE,"""[""histoire chrétienne""]""",
476,Vème siècle,13,Abdication du dernier empereur d’occident,,(Romulus Augustule),,"""[""histoire de Rome""]""",
476,Vème siècle,13,Début de la Guerre des Goth,,fin en 569,,"""[""histoire de Rome""]""",
486,Vème siècle,13,Baptême de Clovis (Mérovingiens),,,,"""[""histoire de France""]""",
529,VIème siècle,14,Création de l’ordre bénédictins par Saint Benoît de Nursie,,référence en terme de règle monacale,RE,"""[""histoire chrétienne""]""",
529,VIème siècle,14,édit de Justinien,,obligation aux païens de se convertir,RE,"""[""histoire chrétienne""]""",
553,VIème siècle,14,L’italie est repris par les byzantins aux ostrogoths,,(installés en 493),,"""[""histoire de Rome""]""",
614,VIIème siècle,15,Sac de jérusalem (byzantine) par les sassanides perses,,,,,
622,VIIème siècle,15,Hégire,,,RE,"""[""histoire musulmane""]""",
632,VIIème siècle,15,Mort de Mahomet,,,RE,"""[""histoire musulmane""]""",
635,VIIème siècle,15,Prise de Damas par Omar (2nd khalif),,Omar meurt en 644. Le premier khalif était Abou Bakr (32-34),RE,"""[""histoire musulmane""]""",
661,VIIème siècle,15,Mort d’Ali,,"cousin et gendre de Mahomet (Fatima), 4ème khalif (sunnite), 1er khalif (chiite)",RE,"""[""histoire musulmane""]""",
661,VIIème siècle,15,Fondation du califat omeyyade(Sunnite) à Damas (Syrie),,,RE,"""[""histoire musulmane""]""",
680,VIIème siècle,15,Bataille de Kerbala et mort de Hussein (petit fils mahomet),,important chiisme,RE,"""[""histoire musulmane""]""",
700,VIIIème siècle,16,Conquête arabe de l’Afrique romaine,,,,"""[""histoire musulmane""]""",
711,VIIIème siècle,16,Arrivée des arabes en Espagne,,,,"""[""histoire musulmane""]""",
717,VIIIème siècle,16,Léon III arrète la conquête musulmane devant Constantinople,,,,"""[""histoire musulmane""]""",
720,VIIIème siècle,16,Fin du royaume Wisigoth d’Espagne (conquis au service de Rome),,,,,
730,VIIIème siècle,16,Premier édit iconoclaste par Léon III puis Constantin V,,,RE,"""[""histoire byzantine""]""",
732,VIIIème siècle,16,Bataille de Poitiers (Charles Martelle),,,,"""[""histoire de France"",""histoire musulmane""]""",
750,VIIIème siècle,16,Fondation du califat abbasside(Sunnite) à Bagdad (Syrie),,,,"""[""histoire musulmane""]""",
751,VIIIème siècle,16,Couronnement de Pépin le bref (Carolingiens),,,,"""[""histoire de France""]""",
754,VIIIème siècle,16,édit iconoclaste interdisant l’image du Christ,,marie (à Hiéreia),RE,"""[""histoire chrétienne""]""",
756,VIIIème siècle,16,Victoire des francs carolingiens sur les lombards,,fondation états pontificaux,,,
769,VIIIème siècle,16,Violente condamnation de l’édit iconoclaste par l’église romaine puis byzantine,,,RE,"""[""histoire chrétienne""]""",
774,VIIIème siècle,16,Invasion des francs à la demande du pape,,Charlemagnes devient roi des lombards,,,
787,VIIIème siècle,16,Second Concile de Nicée par Irène,,fin 1er Iconoclaste,RE,"""[""histoire chrétienne""]""",
800,IXème siècle,17,Charlemagne couronné empereur à Rome par Léon III,,avant l’acclamation des grands,,,
815,IXème siècle,17,Second iconoclasme,,,RE,"""[""histoire chrétienne""]""",
843,IXème siècle,17,Traité de Verdun,,"division en trois de l’empire carolingien (France, Charles le Chauve)",,"""[""histoire de France""]""",
875,IXème siècle,17,Charles le Chauve couronné empereur à Rome,,L’église gagne en pouvoir,,"""[""histoire de France""]""",
909,Xème siècle,18,Fondation de l’abbaye de Cluny,,réforme bénédictine,RE,"""[""histoire chrétienne""]""",
969,Xème siècle,18,"Califat fatimide (chiite, Imam, Ali) s'installe au Caire",,,,"""[""histoire musulmane""]""",
969,Xème siècle,18,Reprise d’Antioche par les Byzantins,,,,"""[""histoire byzantine"",""histoire musulmane]""",
987,Xème siècle,18,Début du règne d’Hugues Capet,,,,"""[""histoire de France""]""",
1054,XIème siècle,19,Schisme Eglise d’Orient et d’occident,,dans le cadre des réformes grégoriennes,RE,[”histoire chrétienne”],
1058,XIème siècle,19,Toghrul-Beg devient Sultan à Bagdag fondant le califat Turc Seldjoukides sunnite,,,,[”histoire musulmane”],
1059,XIème siècle,19,Réforme grégorienne de Nicolas II,,"""célibat prêtre,pape élu par cardinaux et fin simonie (vente charge)”",RE,[”histoire chrétienne”],
1066,XIème siècle,19,Bataille de Hasting,,William le conquérant,,[”histoire de l’Angleterre”],
1076,XIème siècle,19,Henri IV dépose Grégoire VII,,suite au projet de Dictatus papae puis ex communication,RE,[”histoire chrétienne”],
1077,XIème siècle,19,Le roi germanique Henri IV fait pénitence à Canossa,,(querelle investiture Grégoire VII),RE,[”histoire chrétienne”],
1095,XIème siècle,19,Appel d’Urbain II au Concile de Clermont,,,RE,"[”histoire chrétienne”,”croisade”]",
1096,XIème siècle,19,Première croisade,,,RE,"[”histoire chrétienne”,”croisade”]",
1098,XIème siècle,19,fondation de l'abbaye de Cîteaux par Robert de Molesme (Cistercien) ordre monacal,,,RE,[”histoire chrétienne”],
1099,XIème siècle,19,Prise de Jérusalem,,,RE,"[”histoire chrétienne”,”croisade”]",
1115,XIIème siècle,20,Fondation de l’abbaye de Clairvaux,,,RE,[”histoire chrétienne”],
1122,XIIème siècle,20,Concordat de Worms,,le pape désigne les évêques et non empereur (Latran I 1123),RE,"[”histoire chrétienne”,”croisade”]",
1129,XIIème siècle,20,Création de l’ordre du Temple par Clairvaux et Hading (Cisterciens),,,RE,"[”histoire chrétienne”,”croisade”]",
1137,XIIème siècle,20,Mort Louis 6 le gros,,conseillé par Suger,,[”histoire de France”],
1144,XIIème siècle,20,Chute d’Edesse,,,,[”croisade”],
1146,XIIème siècle,20,Bernard de Clairvaux prêche la 2nd croisade devant Louis 7 et Aliénor d'aquitaine,,,,,
1149,XIIème siècle,20,"Raymond de Poitiers, prince d'Antioche, est battu par Nur ad-Din lors la bataille d'Inab",,,,"[”croisade”,”histoire musulmane”]",
1171,XIIème siècle,20,Fin du califat Fatimide,,par Saladin (Ayyubide),,[”histoire musulmane”],
1179,XIIème siècle,20,Discours décisif,Averroès,,PH,[”histoire musulmane”],
1187,XIIème siècle,20,Reprise de Jérusalem,,(devenu 3ème ville sainte de l’islam) par Saladin,,"[”croisade”,”histoire musulmane”]",
1189,XIIème siècle,20,Troisième croisade,,(jusqu'à 1192) (Coeur de Lion et Philippe II),,[”croisade”],
1191,XIIème siècle,20,Richard Coeur de Lyon reprend Acre,,(Avec Philippe II roi de France),,"[”croisade”,”histoire musulmane”,”histoire de France”]",
1204,XIIIème siècle,21,Prise de constantinople par les croisées pour rembourser les vénitiens. (4ème crois),,,,[”croisade”],
1209,XIIIème siècle,21,Croisade des Albigeois contre le catharisme,,,,[”croisade”],
1210,XIIIème siècle,21,Création des franciscain par Saint françois d’Assise,,(ordre mendiant),RE,"”histoire chrétienne”]""",
1215,XIIIème siècle,21,Création des dominicains (ordre mendiant) à Toulouse,,(vs algigeois),RE,"“[”histoire chrétienne”]""",
1227,XIIIème siècle,21,Mort de Gengis khan,,,,,
1241,XIIIème siècle,21,Construction Sainte Chapelle par Louis IX pour accueillir les reliques,,,,"“[”histoire chrétienne”,”histoire de France”]""",
1243,XIIIème siècle,21,Les Mongols débarquent en Anatolie,,,,,
1245,XIIIème siècle,21,Innocent IV dépose Frédéric II,,(lutte du sacerdoce et de l'Empire),RE,"“[”histoire chrétienne”]""",
1250,XIIIème siècle,21,Les mamluk dépose les Ayyoubide du Caire,,,,"“[”histoire musulmane”]""",
1266,XIIIème siècle,21,Somme Théologique,Thomas d’Aquin,,PH,"“[”histoire chrétienne”]""",
1314,XIVème siècle,22,Mort du templier Jacques de Molay par Philippe le Bel,,,,"“[”histoire de France”]""",
1328,XIVème siècle,22,Sacre de Philippe 6,,(le Valois fin rois maudits),,"“[”histoire de France”]""",
1337,XIVème siècle,22,Début guerre de cent ans,,,,"“[”histoire de France”]""",
1350,XIVème siècle,22,Grande peste,,,,,
1378,XIVème siècle,22,Schisme d’occident,,Urbain VI vs Clément VII,RE,"“[”histoire chrétienne”]""",
1396,XIVème siècle,22,A Nicopolis les ottomans écrasent les croisés (dont hongrois),,,,,
1415,XVème siècle,23,Perspective linéaire,Brunelleschi,architecture Dôme de Milan,LI,,
1413,XVème siècle,23,Concile de Constance pour résoudre le schisme d’occident,,,RE,“[”histoire chrétienne”,
1447,XVème siècle,23,Mort de Philippe Marie Visconti duc de Milan,,,,"“[”Italie de Machiavel”]""",
1450,XVème siècle,23,Imprimerie de Gutenberg à Mayence,,,,,
1450,XVème siècle,23,François Sforza  (ancien capitaine) devient duc de Milan,,,,"“[”Italie de Machiavel”]""",
1453,XVème siècle,23,Fin de la guerre de 100 ans,,,,"“[”histoire de France”]""",
1453,XVème siècle,23,Prise de constantinople par les ottomans de Mehmet II (canon),,,,“[”histoire ottomane”,
1453,XVème siècle,23,Population Constantinople (40.000) contre 1M au XIIème,,,,"“[”histoire byzantine”]""",
1454,XVème siècle,23,Guerre de Treize ans (Teuton vs Pologne) jusqu’à 1466,,,,"“[”histoire byzantine”]""",
1455,XVème siècle,23,Début de la guerre des deux Roses,,(Lancastre vs York),,"“[”histoire de l’Angleterre”]""",
1466,XVème siècle,23,Mort de François Sforza,,,,"“[”Italie de Machiavel”]""",
1473,XVème siècle,23,Début de la construction de la chapelle sixtine (Michel Ange),,,LI,"“[”Italie de Machiavel”]""",
1485,XVème siècle,23,"Mort Richard III,Fin guerre des 2 Roses, Avènement Henri VII (Tudor)",,,,"“[”histoire de l’Angleterre”]""",
1485,XVème siècle,23,Naissance de Vénus,Botticelli,"art renaissance, mythologie, retour nu",LI,,
1487,XVème siècle,23,Les portugais contournent l’Afrique,,,,,
1492,XVème siècle,23,Prise de Grenade,,Isabelle de Castille et Ferdinand d’Aragon,,,
1492,XVème siècle,23,Alexandre VI devient pape,,,RE,”[”histoire chrétienne”,
1492,XVème siècle,23,Mort de Laurent de Médicis,,,,"[”Italie de Machiavel”]""",
1492,XVème siècle,23,"Proportion du corps humain, homme de Vitruve",Da Vinci,,LI,,
1492,XVème siècle,23,Découverte de l’Amérique par Colomb (génois),,,,,
1494,XVème siècle,23,Conquête française de Charles VIII (1ère guerre d’Italie),,,,"[”Italie de Machiavel”]""",
1494,XVème siècle,23,Renversement de Pierre de Médicis à Florence par la conquête francais,,,,"[”Italie de Machiavel”]""",
1497,XVème siècle,23,Bûcher des Vanité organisé à Florence par Savonarole,,,,"[”Italie de Machiavel”]""",
1498,XVème siècle,23,Mort de Savonarole accusé par Alexandre VI,,,,"”[”Italie de Machiavel”]""",
1499,XVème siècle,23,Deuxième campagne d’Italie par Louis XII,,,,"”[”Italie de Machiavel”]""",
1500,XVIème siècle,24,Traité de Grenade,,partage du royaume de Naples entre France et Espagne,,"”[”Italie de Machiavel”]""",
1500,XVIème siècle,24,Cesare Borgia prend la totalité de la Romagne Pontificale,,,,"”[”Italie de Machiavel”]""",
1501,XVIème siècle,24,Victoire sur Naples,,,,"[”Italie de Machiavel”]""",
1502,XVIème siècle,24,Cesare Borgia prend le duché Urbino,,,,"”[”Italie de Machiavel”]""",
1503,XVIème siècle,24,"Mort d’Alexandre VI,après Pie III,Jules II devient pape",,,,"”[”Italie de Machiavel”]""",
1504,XVIème siècle,24,"Armistice de Lyon, Louis XII reconnaît Ferdinand II d’Aragon comme roi de Naples",,,,"[”Italie de Machiavel”]""",
1506,XVIème siècle,24,Jules II s’empare de Pérouse et de Bologne,,,,"”[”Italie de Machiavel”]""",
1507,XVIème siècle,24,Mort de Cesare Borgia,,,,"”[”Italie de Machiavel”]""",
1509,XVIème siècle,24,Troisième guerre italienne,,louis XII et le pape contre Venise (ligue de cambrai),,"[”Italie de Machiavel”]""",
1511,XVIème siècle,24,Création de la sainte Ligue,,"Pape, venise, Angleterre, Suisse, Espagne vs France",,"”[”Italie de Machiavel”]""",
1511,XVIème siècle,24,Eloge de la folie,Erasme (critique de l’Eglise),,PH,"”[”Italie de Machiavel”]""",
1512,XVIème siècle,24,Maximilien Sforza est placé sur le trône de Milan,,,,"”[”Italie de Machiavel”]""",
1513,XVIème siècle,24,"Mort de Jules II, remplacé par Léon X",,,,"”[”Italie de Machiavel”]""",
1513,XVIème siècle,24,Rédaction principale du Prince,Machiavel,,PH,"”[”Italie de Machiavel”]""",
1515,XVIème siècle,24,"Mort Louis XII, François I accède au trône de France",,,,"”[”histoire de France”,”Italie de Machiavel”]""",
1515,XVIème siècle,24,Bataille de Marignan,,François I devient duc de Milan,,"”[”histoire de France”]""",
1516,XVIème siècle,24,Charles Quint devient roi d’Espagne,,,,,
1516,XVIème siècle,24,Léonard de Vinci arrive en France,,,,,
1517,XVIème siècle,24,Réforme de Luther,,,RE,"”[”La réforme”]""",
1517,XVIème siècle,24,Fin du sultanat Mamluk (par les ottomans),,,,"”[”histoire ottomane”]""",
1519,XVIème siècle,24,Début du “réformisme” avec Zwingli à Zürich puis Calvin,RE,,,"”[”La réforme”]""",
1521,XVIème siècle,24,Luther excommunié et mis au ban par Charles Quint,,RE,,"”[”La réforme”]""",
1525,XVIème siècle,24,L’état teutoniques devient le duché de Prusse (conversion protestante),,,,"”[”La réforme”]""",
1527,XVIème siècle,24,Mort de Machiavel,,,,"”[”Italie de Machiavel”]""",
1529,XVIème siècle,24,Siège de Vienne par l’empire Ottoman,,,,"”[”histoire ottomane”]""",
1530,XVIème siècle,24,Confession d’Augsbourg,,schisme Catholiques et Protestants,RE,"”[”La réforme”]""",
1532,XVIème siècle,24,Parution du Prince,Machiavel,,PH,"”[”Italie de Machiavel”]""",
1534,XVIème siècle,24,Acte de Suprématie d’Henri VIII,,fondation de l’église Anglicane,RE,"”[”histoire chrétienne”]""",
1534,XVIème siècle,24,Affaire des placards,,,,"”[”La réforme”]""",
1534,XVIème siècle,24,Gargantua,Rabelais,,LI,,
1539,XVIème siècle,24,Création des jésuites (compagnie de Jésus) Par Saint Ignace de Loyola,,,RE,"”[”histoire chrétienne”]""",
1539,XVIème siècle,24,Edit de Viller-Cotteret,,,,"”[”histoire de France”]""",
1543,XVIème siècle,24,Copernic soutient que la terre tourne autour du soleil,,,SC,,
1543,XVIème siècle,24,Fabrique du corps humain,Vésale,(planches anatomiques dont nerf optique),SC,,
1545,XVIème siècle,24,Fondation de Potosi au Pérou (actuelle Bolivie),,mine d’argent,,,
1550,XVIème siècle,24,Controverse Las Cases vs Juan Ginés,,(indien=sous hommes),,,
1555,XVIème siècle,24,Paix d’Augsbourg entre les princes protestants et l'empereur,,(liberté culte),RE,"”[”La réforme”]""",
1555,XVIème siècle,24,Concept cujus regnum cujus religio,,,RE,"”[”La réforme”]""",
1562,XVIème siècle,24,Début des guerres de religion (France),,,RE,"”[”La réforme”,”Histoire de France”]""",
1568,XVIème siècle,24,Début guerre de 80 ans,,(indépendance Provinces Unies VS espagne) fin 1648,,,
1572,XVIème siècle,24,Massacre de la saint barthélémy,,,RE,"”[”La réforme”]""",
1576,XVIème siècle,24,Les 6 livres de la République,Jean Bodin,,PH,,
1576,XVIème siècle,24,Le discour de la servitude volontaire,La Boétie,,PH,,
1580,XVIème siècle,24,Première parution des essais,Montaigne,,PH,,
1580,XVIème siècle,24,Réforme du coup de Fouet unique (import argent en chine),,,,"”[”histoire de Chine”]""",
1588,XVIème siècle,24,Accord du libre arbitre avec le don de la grâce,Molina,,PH,,
1588,XVIème siècle,24,Invincible Armada,,(Philippe II espagne contre Elisabeth I Angleterre),,"”[”histoire d’Angleterre”]""",
1589,XVIème siècle,24,Couronnement d’Henri IV (Bourbon),,,,"”[”histoire de France”]""",
1598,XVIème siècle,24,Edit de Nantes (sous Henri IV) fin guerre religion,,,,"”[”histoire de France”]""",
1600,XVIIème siècle,25,Bûcher de Giordano Bruno,,,SC,,
1600,XVIIème siècle,25,Création de la compagnie britannique des indes orientales,,,,"”[”histoire de l’Angleterre”]""",
1603,XVIIème siècle,25,Hamlet,Shakespeare,,LI,,
1603,XVIIème siècle,25,Mort d'Elizabeth I,,,,"”[”histoire de l’Angleterre”]""",
1609,XVIIème siècle,25,Première version des lois de Kepler,,"(elliptique, 3ème en 1618)",SC,,
1610,XVIIème siècle,25,Messager céleste,Galilée,"“montagnes sur la lune, satellite autres planètes”",SC,,
1610,XVIIème siècle,25,Assassinat d’Henri IV par Ravaillac,,“Avènement de Louis XIII / Richelieu.”,,"”[”histoire de France”]""",
1611,XVIIème siècle,25,Dioptrique,Kepler,théorie mathématique de la chambre obscure étendue à l'oeil,SC,,
1614,XVIIème siècle,25,Marie de Médicis convoque les Etats généraux pour affermir Louis XIII (13 ans),,,,"”[”histoire de France”]""",
1618,XVIIème siècle,25,La défenestration de Prague,,(suite tentative catholicisation de la Bohème),,"”[”La réforme”]""",
1618,XVIIème siècle,25,Guerre de 30 ans,,Habsbourg/espagne/pape/saint empire vs Prusse/France/PB/SU,,,
1628,XVIIème siècle,25,Motus cordis,Harvey,(circulation sanguine au IIème siècle avJC),SC,,
